EN	NL
service desk	servicedesk
Service desk	Servicedesk
Service Desk	Servicedesk
acme academy	acme academy
Acme academy	Acme academy
Acme Academy	Acme Academy
acme cash register training e-learning course	e-learning acme kassatrainer
Acme cash register training e-learning course	E-learning acme kassatrainer
Acme Cash Register Training E-Learning Course	E-Learning Acme Kassatrainer
acme checkout	acme checkout
Acme checkout	Acme checkout
Acme Checkout	Acme Checkout
acme formula	acme formule
Acme formula	Acme formule
Acme Formula	Acme Formule
acme gift card	acme cadeaukaart
Acme gift card	Acme cadeaukaart
Acme Gift Card	Acme Cadeaukaart
acme management skills	acme management competenties
Acme management skills	Acme management competenties
Acme Management Skills	Acme Management Competenties
acme nederland b.v.	acme nederland b.v
Acme nederland b.v.	Acme nederland b.v
Acme Nederland B.V.	Acme Nederland B.V
acme non-food	acme non food
Acme non-food	Acme non food
Acme Non-Food	Acme Non Food
acme service	acme service
Acme service	Acme service
Acme Service	Acme Service
acme servicedesk	acme servicedesk
Acme servicedesk	Acme servicedesk
Acme Servicedesk	Acme Servicedesk
action	action
Action	Action
activation	activering
Activation	Activering
activation code	activeringscode
Activation code	Activeringscode
Activation Code	Activeringscode
admin	beheerder
Admin	Beheerder
administrator	administrator
Administrator	Administrator
air curtain	luchtgordijn
Air curtain	Luchtgordijn
Air Curtain	Luchtgordijn
aisle	gangpad
Aisle	Gangpad
alarm	alarm
Alarm	Alarm
alarm gate	alarmpoortje
Alarm gate	Alarmpoortje
Alarm Gate	Alarmpoortje
anti theft	antidiefstal
Anti theft	Antidiefstal
Anti Theft	Antidiefstal
assignment	opdracht
Assignment	Opdracht
back office	backoffice
Back office	Backoffice
Back Office	Backoffice
barcode	barcode
Barcode	Barcode
barcode scanner	barcodescanner
Barcode scanner	Barcodescanner
Barcode Scanner	Barcodescanner
bin	bak
Bin	Bak
bonus	bonus
Bonus	Bonus
branch	filiaal
Branch	Filiaal
cage	kooi
Cage	Kooi
cash	contant
Cash	Contant
cash register	kassa
Cash register	Kassa
Cash Register	Kassa
cashier	kassamedewerker
Cashier	Kassamedewerker
checkout	kassa
Checkout	Kassa
checkout counter	kassa
Checkout counter	Kassa
Checkout Counter	Kassa
claim	claim
Claim	Claim
complaint	klacht
Complaint	Klacht
corporate values	bedrijfswaarden
Corporate values	Bedrijfswaarden
Corporate Values	Bedrijfswaarden
customer	klant
Customer	Klant
customer service	klantenservice
Customer service	Klantenservice
Customer Service	Klantenservice
delivery	bezorging
Delivery	Bezorging
department	afdeling
Department	Afdeling
discount	korting
Discount	Korting
discount label	kortingslabel
Discount label	Kortingslabel
Discount Label	Kortingslabel
distribution center	distributiecentrum
Distribution center	Distributiecentrum
Distribution Center	Distributiecentrum
e-learning	e-learning
E-learning	E-learning
E-Learning	E-Learning
employee	medewerker
Employee	Medewerker
entrance	ingang
Entrance	Ingang
exit	uitgang
Exit	Uitgang
facility management	facility management
Facility management	Facility management
Facility Management	Facility Management
franchise	franchise
Franchise	Franchise
fresh	vers
Fresh	Vers
frozen	diepvries
Frozen	Diepvries
hr department	hr afdeling
HR department	HR afdeling
HR Department	HR Afdeling
incident	incident
Incident	Incident
inventory	voorraad
Inventory	Voorraad
it support	it support
IT support	IT support
IT Support	IT Support
label	etiket
Label	Etiket
loyalty card	klantenkaart
Loyalty card	Klantenkaart
Loyalty Card	Klantenkaart
maintenance	onderhoud
Maintenance	Onderhoud
manager	manager
Manager	Manager
non-food	non food
Non-food	Non food
Non-Food	Non Food
onboarding	onboarding
Onboarding	Onboarding
opening hours	openingstijden
Opening hours	Openingstijden
Opening Hours	Openingstijden
order	bestelling
Order	Bestelling
payment	betaling
Payment	Betaling
payment terminal	betaalterminal
Payment terminal	Betaalterminal
Payment Terminal	Betaalterminal
planner	planner
Planner	Planner
pos system	kassasysteem
POS system	Kassasysteem
POS System	Kassasysteem
pricing	prijsstelling
Pricing	Prijsstelling
refund	terugbetaling
Refund	Terugbetaling
replacement	vervanging
Replacement	Vervanging
retail	retail
Retail	Retail
sales floor	verkoop vloer
Sales floor	Verkoop vloer
Sales Floor	Verkoop Vloer
scanner	scanner
Scanner	Scanner
schedule	rooster
Schedule	Rooster
security	beveiliging
Security	Beveiliging
shelf	schap
Shelf	Schap
shift	dienst
Shift	Dienst
stock	voorraad
Stock	Voorraad
store	winkel
Store	Winkel
supervisor	supervisor
Supervisor	Supervisor
ticket	ticket
Ticket	Ticket
training	training
Training	Training
warehouse	magazijn
Warehouse	Magazijn
workstation	werkstation
Workstation	Werkstation
