EN	NL
service desk	servicedesk
Service desk	Servicedesk
Service Desk	Servicedesk
help desk	helpdesk
Help desk	Helpdesk
Help Desk	Helpdesk
incident	incident
Incident	Incident
INCIDENT	INCIDENT
problem	probleem
Problem	Probleem
PROBLEM	PROBLEEM
change request	wijzigingsverzoek
Change request	Wijzigingsverzoek
Change Request	Wijzigingsverzoek
customer	klant
Customer	Klant
CUSTOMER	KLANT
user account	gebruikersaccount
User account	Gebruikersaccount
User Account	Gebruikersaccount
password reset	wachtwoord reset
Password reset	Wachtwoord reset
Password Reset	Wachtwoord Reset
ticket	ticket
Ticket	Ticket
TICKET	TICKET
priority	prioriteit
Priority	Prioriteit
PRIORITY	PRIORITEIT
urgent	urgent
Urgent	Urgent
URGENT	URGENT
resolved	opgelost
Resolved	Opgelost
RESOLVED	OPGELOST
pending	in behandeling
Pending	In behandeling
PENDING	IN BEHANDELING
closed	gesloten
Closed	Gesloten
CLOSED	GESLOTEN
assigned to	toegewezen aan
Assigned to	Toegewezen aan
Assigned To	Toegewezen Aan
escalate	escaleren
Escalate	Escaleren
ESCALATE	ESCALEREN
knowledge base	kennisbank
Knowledge base	Kennisbank
Knowledge Base	Kennisbank
